experiment,git_hash,seed,tta_level,train_epochs,batch_size,lr,momentum,weight_decay,label_smoothing,whiten_bias_epochs,gpu_name,gpu_count,instance,run,total_time_seconds,final_tta_acc
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.353400572299957,0.9408999681472778
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.437462966918945,0.9411999583244324
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.34767577123642,0.9399999976158142
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.453677997350692,0.9396999478340149
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.448244611978531,0.9384999871253967
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.447412078857422,0.9422000050544739
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.359570913076401,0.9400999546051025
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.3659106259346006,0.9418999552726746
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,12.59794593048096,0.9393999576568604
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.819626490831376,0.9419999718666077
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.8202490952014925,0.9423999786376953
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.7418791587352755,0.9417999982833862
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.831656414031982,0.9395999908447266
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.844920879364014,0.9442999958992004
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.751853504180908,0.9411999583244324
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.839742604970931,0.9413999915122986
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.835496481180192,0.9413999915122986
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.841854613780975,0.9434999823570251
grid_tta1_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,12.503515262603761,0.9420999884605408
